Document Type,ASM Name,Company Code,Company Name,Market Name,Sector Name,Sub-sector Name,Sub-sector Detail Code,Sub-sector Detail Name,State Name,District Name,Census Sub-District Code,Census Sub-District Name,Town Type,Town Name,Previous DB Code,Core YN,Convertion Date,Sales Executive Code,Sales Executive Name,DSR Beat Day,Unique Code,Customer Code,Customer Name,Special Code,Customer GSTN NO,Ship To Name,Ship To GSTN NO,Master Brand Name,Product Brand Name,Product Code,Promo / Non Promo,Product Name,HSN Number,Price Circular Number,Invoice No,Invoice Date,Reference Invoice No,Reference Invoice Date,Castrol Week No,Scheme Code,Pack Size,Product Volume,Scheme Discount Name,Scheme Discount Value,Coupon Discount Name,Coupon Value,Mode Of Payement,MOP Percent,MOP Discount,Total Value incl VAT/GST,Total Value Without GST,Total VAT,CGST Percentage,CGST Value,SGST Percentage,SGST Value,UGST Percentage,UTGST Value,IGST Percentage,IGST Value,Coupon Discount WOVAT,TCS
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_CARJ-375-4,Multiple Chains - Car/Jeep Castrol Only,RAJASTHAN,BIKANER,00473,Bikaner,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Monday,3340010038,CS01139,"SHREE SHYAM MOTORS , BKN",,,,,Castrol,CRB Essential,3435612,NON_PROMO,"CRB ESSENTIAL15W40 CF4,4X3L MK",271019,2026101,INV/25-26/12795,2/28/2026,,,8,,3,6,WORKSHOP DISCOUNT,0,,0,Cash,0,0,1361.1,1153.47,207.63,9,103.81,9,103.81,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Workshops,Independent Workshop,Car,G_CASE-955-4,Branded PCO IWS Enhanced,RAJASTHAN,CHURU,00484,Churu,Urban,Churu,,Y,31/03/2015,00006,MR. RAKESH KUMAR,Tuesday,3310010013,CS01146,"VERMA MOTOR WORKSHOP , CHURU ( CCC )",,,,,Castrol,Magnatec SUV,3442628,PROMO,"MAGNATEC SUV 5W-40, 4X3.5L MK",271019,2026101,INV/25-26/13335,3/17/2026,,,11,,3.5,14,PCOQ12601,118.64,,0,Cash,0,0,8078,6845.76,1232.24,9,616.12,9,616.12,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_23WM-375-4,Multiple Chains - 2/3 Wheeler Multibrand,RAJASTHAN,BIKANER,00477,Nokha,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Monday,3340010048,CS01155,"RATHI AUTO CENTER , BIKNAER (  Retail )",,,,,Castrol,Activ,3438942,PROMO,"ACTIV 4T 20W-40, 20X1L MK",271019,2026101,INV/25-26/11111,1/17/2026,,,2,,1,20,RETQ12601,101.69,,0,Cheque,0,0,7739,6558.48,1180.53,9,590.26,9,590.26,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_TRKM-375-4,Multiple Chains - Truck Spares Multibrand,RAJASTHAN,CHURU,00483,Sardarshahar,Urban,Sardarshahar,,Y,31/03/2015,00006,MR. RAKESH KUMAR,Monday,3340010053,CS01159,"SHREE GANESH AUTO STORES ,S.SAHAR",,,,,Castrol,Spheerol CV Performance,3442075,NON_PROMO,"SPHEEROL CV PERF 40K,16X.5K MK",271019,2025301,INV/25-26/10767,1/5/2026,,,1,,0.5,1,WORKSHOP DISCOUNT,0,,0,Cheque,0,0,345,292.37,52.63,9,26.31,9,26.31,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Workshops,Independent Workshop,Car,G_CASE-955-4,Branded PCO IWS Enhanced,RAJASTHAN,BIKANER,00473,Bikaner,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Monday,3340010058,CS01164,MOTIYAR ENTERPRISES (CCC),,08AMZPM1336L1ZD,,,Castrol,CRB Essential,3435612,NON_PROMO,"CRB ESSENTIAL15W40 CF4,4X3L MK",271019,2025402,INV/25-26/10913,1/10/2026,,,1,,3,12,WORKSHOP DISCOUNT,0,,0,Cash,0,0,2686.19,2276.43,409.76,9,204.88,9,204.88,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_CARM-375-4,Multiple Chains - Car Spares Multibrand,RAJASTHAN,BIKANER,00473,Bikaner,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Friday,3340010062,CS01171,"SIYA MOTORS, BIKANER",,08ABQPV4904M1ZU,,,Castrol,RX Super,3435012,NON_PROMO,"RX SUPER 15W-40,4 X 3 LT",271019,2025403,INV/25-26/11938,2/7/2026,,,5,,3,12,WORKSHOP DISCOUNT,0,,0,Cash,0,0,3166.68,2683.63,483.05,9,241.53,9,241.53,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_23WM-375-4,Multiple Chains - 2/3 Wheeler Multibrand,RAJASTHAN,BIKANER,00477,Nokha,Urban,Nokha,,Y,31/03/2015,00003,Mr. JAGDISH KUMAR THAREJA,Thursday,9743379937,CS01242,"GANPATI AUTO CENTRE, NOKHA",,08AIPPL7906B1Z5,,,Castrol,Activ Essential,3444033,NON_PROMO,"ACTIV ESS 20W-40, 20X.9L MK",271019,2026101,INV/25-26/11537,1/29/2026,,,4,,0.9,9,WORKSHOP DISCOUNT,0,,0,Cash,0,0,2494.71,2114.16,380.55,9,190.27,9,190.27,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_23WM-375-4,Multiple Chains - 2/3 Wheeler Multibrand,RAJASTHAN,BIKANER,00477,Nokha,Urban,Nokha,,Y,31/03/2015,00003,Mr. JAGDISH KUMAR THAREJA,Thursday,9743379937,CS01242,"GANPATI AUTO CENTRE, NOKHA",,08AIPPL7906B1Z5,,,Not Yet Classified,Not Classified,190BFF,NON_PROMO,TW MICRO FBR CLOTH 400GSM 1X48,63071090,2024301,INV/25-26/10904,1/10/2026,,,1,,1,10,RETQ12601,100,,0,Cash,0,0,795,757.14,37.86,2.5,18.93,2.5,18.93,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_23WM-375-4,Multiple Chains - 2/3 Wheeler Multibrand,RAJASTHAN,BIKANER,00473,Bikaner,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Monday,9490156043,CS01246,LUNAWAT AUTOMOBILE,,08BOFPS6059M1Z6,,,Castrol,Activ Scooter,3442522,PROMO,"ACTIVSCTR 10W30 4-AT,12X.8L MK",271019,2025401,INV/25-26/12391,2/21/2026,,,7,,0.8,9.6,RETQ12601,48.81,,0,Cash,0,0,4022.4,3408.81,613.59,9,306.79,9,306.79,0,0,0,0,0,0
Invoice,Abhay Pandey,13305037,SHRI LAXMI AUTO STORES,Retail,Auto Specialist Accessory Shops,Multiple Chains,G_23WM-375-4,Multiple Chains - 2/3 Wheeler Multibrand,RAJASTHAN,BIKANER,00473,Bikaner,Urban,Bikaner,,Y,31/03/2015,00004,Mr. GAJANAND BHATI,Monday,9490156043,CS01246,LUNAWAT AUTOMOBILE,,08BOFPS6059M1Z6,,,Castrol,Activ Scooter,3442519,PROMO,"ACTSCTR+SCTR GO,12X.6L+.12L MK",271019,2025401,INV/25-26/11100,1/17/2026,,,2,,0.72,3.6,RETQ12601,18.31,,0,Cash,0,0,1623.4,1375.76,247.64,9,123.82,9,123.82,0,0,0,0,0,0
